N,M,maximum_ci_width,p0,rho,null_replicates,alternative_replicates,false_positive_rate,power
35,100,0.1,0.3,0.01,2000,2000,0.003,1.0
35,100,0.1,0.3,0.05,2000,2000,0.0015,1.0
35,100,0.1,0.3,0.1,2000,2000,0.0025,1.0
35,100,0.1,0.5,0.01,2000,2000,0.0025,0.9995
35,100,0.1,0.5,0.05,2000,2000,0.001,1.0
35,100,0.1,0.5,0.1,2000,2000,0.0035,0.999
35,100,0.12,0.1,0.01,2000,2000,0.0035,1.0
35,100,0.12,0.1,0.05,2000,2000,0.0035,1.0
35,100,0.12,0.1,0.1,2000,2000,0.0025,1.0
35,100,0.12,0.3,0.01,2000,2000,0.0035,1.0
35,100,0.12,0.3,0.05,2000,2000,0.001,0.9995
35,100,0.12,0.3,0.1,2000,2000,0.0035,1.0
35,100,0.12,0.5,0.01,2000,2000,0.001,0.9985
35,100,0.12,0.5,0.05,2000,2000,0.004,1.0
35,100,0.12,0.5,0.1,2000,2000,0.003,0.9995
35,100,0.15,0.1,0.01,2000,2000,0.0015,1.0
35,100,0.15,0.1,0.05,2000,2000,0.0025,1.0
35,100,0.15,0.1,0.1,2000,2000,0.003,1.0
35,100,0.15,0.3,0.01,2000,2000,0.003,1.0
35,100,0.15,0.3,0.05,2000,2000,0.0035,1.0
35,100,0.15,0.3,0.1,2000,2000,0.003,1.0
35,100,0.15,0.5,0.01,2000,2000,0.0045,1.0
35,100,0.15,0.5,0.05,2000,2000,0.003,1.0
35,100,0.15,0.5,0.1,2000,2000,0.0035,1.0
35,200,0.08,0.1,0.01,2000,2000,0.0015,1.0
35,200,0.08,0.1,0.05,2000,2000,0.002,1.0
35,200,0.08,0.1,0.1,2000,2000,0.0025,1.0
35,200,0.08,0.3,0.01,2000,2000,0.0015,1.0
35,200,0.08,0.3,0.05,2000,2000,0.002,1.0
35,200,0.08,0.3,0.1,2000,2000,0.004,1.0
35,200,0.08,0.5,0.01,2000,2000,0.002,1.0
35,200,0.08,0.5,0.05,2000,2000,0.0015,1.0
35,200,0.08,0.5,0.1,2000,2000,0.004,1.0
35,200,0.1,0.1,0.01,2000,2000,0.001,1.0
35,200,0.1,0.1,0.05,2000,2000,0.0025,1.0
35,200,0.1,0.1,0.1,2000,2000,0.0005,1.0
35,200,0.1,0.3,0.01,2000,2000,0.001,1.0
35,200,0.1,0.3,0.05,2000,2000,0.005,1.0
35,200,0.1,0.3,0.1,2000,2000,0.0015,1.0
35,200,0.1,0.5,0.01,2000,2000,0.0035,1.0
35,200,0.1,0.5,0.05,2000,2000,0.0035,1.0
35,200,0.1,0.5,0.1,2000,2000,0.0045,1.0
35,200,0.12,0.1,0.01,2000,2000,0.0025,1.0
35,200,0.12,0.1,0.05,2000,2000,0.0015,1.0
35,200,0.12,0.1,0.1,2000,2000,0.003,1.0
35,200,0.12,0.3,0.01,2000,2000,0.0025,1.0
35,200,0.12,0.3,0.05,2000,2000,0.004,1.0
35,200,0.12,0.3,0.1,2000,2000,0.002,1.0
35,200,0.12,0.5,0.01,2000,2000,0.002,1.0
35,200,0.12,0.5,0.05,2000,2000,0.0065,1.0
35,200,0.12,0.5,0.1,2000,2000,0.003,1.0
35,200,0.15,0.1,0.01,2000,2000,0.0035,1.0
35,200,0.15,0.1,0.05,2000,2000,0.0045,1.0
35,200,0.15,0.1,0.1,2000,2000,0.0025,1.0
35,200,0.15,0.3,0.01,2000,2000,0.003,1.0
35,200,0.15,0.3,0.05,2000,2000,0.002,1.0
35,200,0.15,0.3,0.1,2000,2000,0.0025,1.0
35,200,0.15,0.5,0.01,2000,2000,0.003,1.0
35,200,0.15,0.5,0.05,2000,2000,0.002,1.0
35,200,0.15,0.5,0.1,2000,2000,0.0045,1.0
40,50,0.08,0.1,0.01,2000,2000,0.0015,1.0
40,50,0.08,0.1,0.05,2000,2000,0.0025,1.0
40,50,0.08,0.1,0.1,2000,2000,0.0035,1.0
40,50,0.08,0.3,0.01,2000,2000,0.0035,0.983
40,50,0.08,0.3,0.05,2000,2000,0.0055,0.9825
40,50,0.08,0.3,0.1,2000,2000,0.001,0.988
40,50,0.08,0.5,0.01,2000,2000,0.002,0.9515
40,50,0.08,0.5,0.05,2000,2000,0.002,0.973
40,50,0.08,0.5,0.1,2000,2000,0.005,0.9765
40,50,0.1,0.1,0.01,2000,2000,0.003,0.9995
40,50,0.1,0.1,0.05,2000,2000,0.003,1.0
40,50,0.1,0.1,0.1,2000,2000,0.0025,1.0
40,50,0.1,0.3,0.01,2000,2000,0.0065,0.9825
40,50,0.1,0.3,0.05,2000,2000,0.001,0.9795
40,50,0.1,0.3,0.1,2000,2000,0.0015,0.987
40,50,0.1,0.5,0.01,2000,2000,0.002,0.959
40,50,0.1,0.5,0.05,2000,2000,0.002,0.969
